Price,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,SPY,AAPL,SPY,^VIX,AAPL,SPY,^VIX,AAPL,SPY,^VIX,AAPL,SPY,^VIX,AAPL,SPY,^VIX
Date,,,,,,,,,,,,,,,,
2012-01-03,,12.345171928405762,,22.969999313354492,12.383297946425055,,23.100000381469727,12.278227543493562,,22.540000915527344,12.290235864385238,,22.950000762939453,302220800,,0
2012-01-04,,12.411514282226562,,22.219999313354492,12.448740072146757,,23.729999542236328,12.28663096769779,,22.219999313354492,12.308245140866706,,23.440000534057617,260022000,,0
2012-01-05,,12.549308776855469,,21.479999542236328,12.564918792643642,,23.09000015258789,12.38840048079794,,21.34000015258789,12.45684710936432,,22.75,271269600,,0
2012-01-06,,12.680498123168945,,20.6299991607666,12.691005004338242,,21.719999313354492,12.585034366039993,,20.579999923706055,12.601545408341359,,21.239999771118164,318292800,,0
2012-01-09,,12.660383224487305,,21.06999969482422,12.841104447035224,,21.780000686645508,12.648975319561561,,21.0,12.773559645612751,,21.670000076293945,394024400,,0
2012-01-10,,12.705716133117676,,20.690000534057617,12.788571962197471,,20.690000534057617,12.653480727404656,,20.049999237060547,12.785869688592324,,20.139999389648438,258196400,,0
2012-01-11,,12.685002326965332,,21.049999237060547,12.694008569716893,,21.219999313354492,12.587737310119714,,20.979999542236328,12.688904631345803,,21.18000030517578,215084800,,0
2012-01-12,,12.650176048278809,,20.469999313354492,12.69550625715163,,22.030000686645508,12.570922733742126,,20.459999084472656,12.67689416141687,,21.010000228881836,212587200,,0
2012-01-13,,12.602742195129395,,20.90999984741211,12.621955505806708,,22.43000030517578,12.56821947994126,,20.90999984741211,12.599441109791895,,21.40999984741211,226021600,,0
2012-01-17,,12.749543190002441,,22.200000762939453,12.788269624899316,,22.25,12.697307794623635,,20.690000534057617,12.734532788564975,,20.899999618530273,242897200,,0
2012-01-18,,12.88193130493164,,20.889999389648438,12.892737991655085,,23.440000534057617,12.79757485828217,,20.780000686645508,12.817387785294754,,23.200000762939453,276791200,,0
2012-01-19,,12.841107368469238,,19.8700008392334,12.94977949151752,,20.8700008392334,12.803882366603027,,19.450000762939453,12.913155707460374,,20.489999771118164,261738400,,0
2012-01-20,,12.617451667785645,,18.280000686645508,12.833596597725471,,19.940000534057617,12.60094063014955,,18.15999984741211,12.833296790565404,,19.90999984741211,413974400,,0
